13	Simon Wells	Cliff Ruby#Elana Lesser	Kevin Bacon#Bob Hoskins#Bridget Fonda	English	An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.
14	Oliver Stone	Stephen J. Rivele#Christopher Wilkinson	Anthony Hopkins#Joan Allen#Powers Boothe	USA	A biographical story of former U.S. President Richard Milhous Nixon, from his days as a young boy, to his eventual Presidency, which ended in shame.
15	Renny Harlin	Michael Frost Beckner#James Gorman	Geena Davis#Matthew Modine#Frank Langella	English	A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.
16	Martin Scorsese	Nicholas Pileggi#Nicholas Pileggi	Robert De Niro#Sharon Stone#Joe Pesci	English	A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive, compete against each other over a gambling empire, and over a fast living and fast loving socialite.
17	Ang Lee	Jane Austen#Emma Thompson	Emma Thompson#Kate Winslet#James Fleet	English#French	Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the titular opposites.
18	Allison Anders#Alexandre Rockwell	Allison Anders#Alexandre Rockwell	Tim Roth#Antonio Banderas#Sammi Davis	USA	Four interlocking tales that take place in a fading hotel on New Year's Eve.
19	Steve Oedekerk	Jack Bernstein#Steve Oedekerk	Jim Carrey#Ian McNeice#Simon Callow	English	Ace Ventura, Pet Detective, returns from a spiritual quest to investigate the disappearance of a rare white bat, the sacred animal of a tribe in Africa.
20	Joseph Ruben	Doug Richardson#Doug Richardson	Wesley Snipes#Woody Harrelson#Jennifer Lopez	USA	A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.
21	Barry Sonnenfeld	Elmore Leonard#Scott Frank	Gene Hackman#Rene Russo#Danny DeVito	USA	A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.
22	Jon Amiel	Ann Biderman#David Madsen	Sigourney Weaver#Holly Hunter#Dermot Mulroney	English	An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
23	Richard Donner	Lilly Wachowski#Lana Wachowski	Sylvester Stallone#Antonio Banderas#Julianne Moore	English#Dutch#Spanish	Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.
24	Victor Salva	Victor Salva	Mary Steenburgen#Sean Patrick Flanery#Lance Henriksen	English	An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.
25	Mike Figgis	John O'Brien#Mike Figgis	Nicolas Cage#Elisabeth Shue#Julian Sands	France#UK#USA	Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.
26	Oliver Parker	Oliver Parker#William Shakespeare	Laurence Fishburne#Kenneth Branagh#Irène Jacob	English	The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.
27	Lesli Linka Glatter	I. Marlene King	Christina Ricci#Demi Moore#Rosie O'Donnell	USA	Four 12-year-old girls grow up together during an eventful small-town summer in 1970.
28	Roger Michell	Jane Austen#Nick Dear	Amanda Root#Ciarán Hinds#Susan Fleetwood	UK#USA#France	Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...
29	Marc Caro#Jean-Pierre Jeunet	Gilles Adrien#Jean-Pierre Jeunet	Ron Perlman#Daniel Emilfork#Judith Vittet	France#Germany#Spain#Belgium#USA	A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.
30	Yimou Zhang	Bi Feiyu#Li Xiao	Li Gong#Baotian Li#Xiaoxiao Wang	France#China	A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.
31	John N. Smith	LouAnne Johnson#Ronald Bass	Michelle Pfeiffer#George Dzundza#Courtney B. Vance	English	An ex-Marine turned teacher struggles to connect with her students in an inner city school.
32	Terry Gilliam	Chris Marker#David Webb Peoples	Bruce Willis#Madeleine Stowe#Brad Pitt	USA	In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.
33	Jean-Jacques Annaud	Alain Godard#Jean-Jacques Annaud	Craig Sheffer#Elizabeth McGovern#Tom Hulce	France#USA	While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.
34	Chris Noonan	Dick King-Smith#George Miller	James Cromwell#Magda Szubanski#Christine Cavanaugh	Australia#USA	Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.
35	Christopher Hampton	Christopher Hampton#Michael Holroyd	Emma Thompson#Jonathan Pryce#Steven Waddington	English	The platonic relationship between artist Dora Carrington and writer Lytton Strachey in the early 20th century.
36	Tim Robbins	Helen Prejean#Tim Robbins	Susan Sarandon#Sean Penn#Robert Prosky	English	A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.
37	Stephen Low	Andrew Gellis	Peter Reznick#John McDonough#Avi Hoffman	English#Russian	A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...
38	Andy Tennant	Deborah Dean Davis	Kirstie Alley#Steve Guttenberg#Mary-Kate Olsen	English	Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.
39	Amy Heckerling	Amy Heckerling	Alicia Silverstone#Stacey Dash#Brittany Murphy	USA	A rich high school student tries to boost a new pupil's popularity, but reckons without affairs of the heart getting in the way.
40	Darrell Roodt	Ronald Harwood#Alan Paton	Richard Harris#James Earl Jones#Vusi Kunene	South Africa#USA	A South African preacher goes to search for his wayward son, who has committed a crime in the big city.
41	Richard Loncraine	William Shakespeare#Ian McKellen	Ian McKellen#Annette Bening#Christopher Bowen	English	The classic Shakespearean play about a murderously scheming King staged in an alternative fascist England setting.
42	Albert Hughes#Allen Hughes	Allen Hughes#Albert Hughes	Larenz Tate#Keith David#Chris Tucker	English	A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.
43	Michael Hoffman	Rose Tremain#Rupert Walters	Robert Downey Jr.#Sam Neill#David Thewlis	USA#UK	The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.
44	Paul W.S. Anderson	Ed Boon#John Tobias	Christopher Lambert#Robin Shou#Linden Ashby	USA	Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.
45	Gus Van Sant	Joyce Maynard#Buck Henry	Nicole Kidman#Matt Dillon#Joaquin Phoenix	English	A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.
46	Jocelyn Moorhouse	Whitney Otto#Jane Anderson	Winona Ryder#Ellen Burstyn#Anne Bancroft	English	Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.
47	David Fincher	Andrew Kevin Walker	Morgan Freeman#Brad Pitt#Kevin Spacey	USA	Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
48	Mike Gabriel#Eric Goldberg	Carl Binder#Susannah Grant	Mel Gibson#Linda Hunt#Christian Bale	USA	An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth-century Virginia.
49	Patricia Rozema	Patricia Rozema	Pascale Bussières#Rachael Crawford#Henry Czerny	English	An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.
50	None	None	None	IMDbPro	None
51	Richard W. Munchkin	Joe Hart	Cynthia Rothrock#Daniel McVicar#Lydie Denier	English	Christine McKay is a cop. She and some other cops which includes her lover are pursuing some criminals. Her lover gets killed by a woman named Nina, who is later caught. Because of his ...
52	Woody Allen	Woody Allen	Woody Allen#Mira Sorvino#Pamela Blair	English#Latin	When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.
53	Gianni Amelio	Gianni Amelio#Andrea Porporati	Enrico Lo Verso#Michele Placido#Piro Milkani	Albanian#Italian	Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...
54	Holly Goldberg Sloan	Holly Goldberg Sloan	Steve Guttenberg#Olivia d'Abo#Jay O. Sanders	USA	A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.
55	Ulu Grosbard	Barbara Turner	Jennifer Jason Leigh#Mare Winningham#Ted Levine	English#Hebrew	Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Sadie wants to be a famous artist like her sister, but is always doing everything wrong. Her ...
56	Robert Tinnell	David Sherman#Robert Tinnell	Johnny Morina#Maggie Castle#Christopher Olscamp	English	Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil ...
57	Jodie Foster	Chris Radant#W.D. Richter	Holly Hunter#Anne Bancroft#Robert Downey Jr.	English	After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.
58	Michael Radford#Massimo Troisi	Antonio Skármeta#Furio Scarpelli	Massimo Troisi#Philippe Noiret#Maria Grazia Cucinotta	Italy#France#Belgium	Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.
59	Robert Lepage	Robert Lepage	Lothaire Bluteau#Patrick Goyette#Jean-Louis Millette	French#English	The year is 1952, in Quebec City. Rachel, 16, unmarried, and pregnant, works in the church. Filled with shame, she unburdens her guilt to a young priest, under the confidentiality of the ...
60	Frank Oz	Lynne Reid Banks#Melissa Mathison	Hal Scardino#Litefoot#Lindsay Crouse	English	Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother and a tiny plastic model of an Indian from his best friend Patrick.
61	John Schlesinger	Erika Holzer#Amanda Silver	Sally Field#Kiefer Sutherland#Ed Harris	English#French#Spanish#Korean	When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.
62	Stephen Herek	Patrick Sheane Duncan	Richard Dreyfuss#Glenne Headly#Jay Thomas	English#American Sign Language	A frustrated composer finds fulfillment as a high school music teacher.
63	Paris Barclay	Shawn Wayans#Marlon Wayans	Shawn Wayans#Marlon Wayans#Keenen Ivory Wayans	USA	A parody of several U.S. films about being in the 'Hood', for instance "Boyz n the Hood", "South Central", "Menace II Society", "Higher Learning" and "Juice".
64	Bill Bennett	Denis Leary#Mike Armstrong	Sandra Bullock#Denis Leary#Stephen Dillane	English	A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don't go as planned.
65	Jason Bloom	Adam Leff#Mitchell Peck	Pauly Shore#Stephen Baldwin#William Atherton	USA	Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.
66	Farhad Mann	Farhad Mann#Michael Miner	Patrick Bergin#Matt Frewer#Austin O'Brien	English	Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...
67	James Foley	Joseph Stefano	Al Pacino#Mary Elizabeth Mastrantonio#Jerry Barone	English	It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's ...
68	Josiane Balasko	Patrick Aubrée#Josiane Balasko	Victoria Abril#Josiane Balasko#Alain Chabat	French#Spanish#English	After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.
69	F. Gary Gray	Ice Cube#DJ Pooh	Ice Cube#Chris Tucker#Nia Long	USA	Two homies, Smokey and Craig, smoke a dope dealer's weed and try to figure a way to get the $200 they owe to the dealer by 10 p.m. that same night.
70	Robert Rodriguez	Robert Kurtzman#Quentin Tarantino	Harvey Keitel#George Clooney#Juliette Lewis	USA#Mexico	Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.
71	Andrew Sipes	Paula Gosling#Charlie Fletcher	William Baldwin#Cindy Crawford#Steven Berkoff	English#Russian	Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.
72	Noah Baumbach	Noah Baumbach#Bo Berkman	Josh Hamilton#Eric Stoltz#Samuel Gould	English	A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.
73	Claude Lelouch	Victor Hugo#Claude Lelouch	Jean-Paul Belmondo#Michel Boujenah#Alessandra Martines	French#German#English	A variation on Victor Hugo's classic novel by means of the story of a man whose life is affected by and somewhat duplicated by the Hugo story of the beleaguered Jean Valjean.
74	Michael Goldenberg	Michael Goldenberg	Christian Slater#Mary Stuart Masterson#Pamela Adlon	English	Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.
75	Steve Miner	Mark Steven Johnson	Rick Moranis#Tom Arnold#Julianne Phillips	English	A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.
76	Christian Duguay	Philip K. Dick#Dan O'Bannon	Peter Weller#Roy Dupuis#Jennifer Rubin	Canada#USA#Japan#Australia	Soldiers attempting to negotiate the end to a long-running war discover the robots they built to assassinate enemy combatants have gained sentience and are plotting against both sides.
77	Susanne Ofteringer	Susanne Ofteringer	Nico#Tina Aumont#Christian Päffgen	English#German	A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...
78	Sean Penn	Sean Penn	Jack Nicholson#David Morse#Anjelica Huston	USA	Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.
79	Brian Gibson	George Dawes Green#Ted Tally	Demi Moore#Alec Baldwin#Joseph Gordon-Levitt	English	A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.
80	Jafar Panahi	Abbas Kiarostami#Jafar Panahi	Aida Mohammadkhani#Mohsen Kafili#Fereshteh Sadre Orafaiy	Iran	Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.
81	Gary Fleder	Scott Rosenberg	Andy Garcia#Christopher Walken#Christopher Lloyd	USA	Five different criminals face imminent death after botching a job quite badly.
82	Marleen Gorris	Marleen Gorris	Willeke van Ammelrooy#Jan Decleir#Veerle van Overloop	Dutch	A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.
83	Tim Reid	Clifton L. Taulbert#Paul W. Cooper	Al Freeman Jr.#Phylicia Rashad#Leon	English	A narrator tells the story of his childhood years in a tightly knit Afro-American community in the deep south under racial segregation.
84	Henry Jaglom	Henry Jaglom#Victoria Foyt	Victoria Foyt#Viveca Lindfors#Jon Robin Baitz	USA	Filmed entirely on location in East Hampton, Long Island, "Last Summer in the Hamptons" concerns a large theatrical family spending the last weekend of their summer together at the ...
85	Philip Haas	A.S. Byatt#Belinda Haas	Mark Rylance#Kristin Scott Thomas#Patsy Kensit	English	In the 1800s a naturalist marries into a family of British country gentry.
86	Ridley Scott	Charles Gieg Jr.#Felix Sutton	Jeff Bridges#Caroline Goodall#John Savage	English#Danish#Spanish	Teenage boys discover discipline and camaraderie on an ill-fated sailing voyage.
87	Ken Kwapis	John Hopkins#John Hopkins	Jason Alexander#Faye Dunaway#Eric Lloyd	English#French	A young boy befriends a larcenous orangutan in a luxury hotel.
88	Penelope Spheeris	Fred Wolf	Chris Farley#David Spade#Tim Matheson	English	A gubernatorial candidate hires a wormy special assistant whose only job is to make sure the candidate's well-meaning but incompetent brother doesn't ruin the election.
89	John Badham	Patrick Sheane Duncan	Johnny Depp#Christopher Walken#Courtney Chase	English	An unimpressive, every-day man is forced into a situation where he is told to kill a politician to save his kidnapped daughter.
90	John Duigan	John Ehle#John Ehle	Jason Patric#Thandie Newton#Larry Drake	USA	The Journey of August King is a multi-dimensional drama about a North Carolina farmer in April 1815. August King, a widower, is on his way home as he does every year after selling his ...
92	Stephen Frears	Valerie Martin#Christopher Hampton	Julia Roberts#John Malkovich#George Cole	English	A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.
93	Wes Craven	Eddie Murphy#Vernon Lynch	Eddie Murphy#Angela Bassett#Allen Payne	English	A ship sails into Brooklyn with all its crew dead. But something gets off and the killing continues on land. The vampire is looking for a specific woman - half-human, half-vampire. Rita's the cop detective investigating the many killings.
94	Ted Demme	Scott Rosenberg	Matt Dillon#Timothy Hutton#Noah Emmerich	USA	A piano player at a crossroads in his life returns home to his friends and their own problems with life and love.
95	John Woo	Graham Yost	John Travolta#Christian Slater#Samantha Mathis	English	Terrorists steal nuclear warheads from the U.S. military but don't count on a pilot and park ranger spoiling their plans.
96	Gerry Mill	Johnny Byrne	Allan Corduner#Ram John Holder#Alan Price	English	The Frankie Rio Trio once belonged at the top of the charts, but popularity has dropped and now they are struggling for a comeback. Now finances are so low they have to skip a hotel bill. ...
97	Mathieu Kassovitz	Mathieu Kassovitz	Vincent Cassel#Hubert Koundé#Saïd Taghmaoui	France	24 hours in the lives of three young men in the French suburbs the day after a violent riot.
98	Paul W.S. Anderson	Paul W.S. Anderson	Sadie Frost#Jude Law#Sean Pertwee	English	You've run out of options, no school, no job. Steal a car, smash a shop with a heavy car and reap the proceeds! This movie is about underground England. The causes, the benefits, and the result of a life of 'crash and carry.'
99	Nick Broomfield	Nick Broomfield#Nina Xining Zuo#Madam Alex	None	UK#Germany#USA#Canada	A documentary crew from the BBC arrives in L.A. intent on interviewing Heidi Fleiss, a year after her arrest for running a brothel but before her trial. Several months elapse before the ...
100	Harold Becker	Ken Lipper#Paul Schrader	Al Pacino#John Cusack#Bridget Fonda	English	The accidental shooting of a boy in New York leads to an investigation by the Deputy Mayor, and unexpectedly far-reaching consequences.
101	Wes Anderson	Owen Wilson#Wes Anderson	Luke Wilson#Owen Wilson#Ned Dowd	English#Spanish	Three friends plan to pull off a simple robbery and go on the run.
102	Nick Castle	Chris Matheson#Kerry Ehrin	Ellen DeGeneres#Bill Pullman#Joan Cusack	English	A single and lonely woman finds the seemingly perfect man to date, but soon regrets it when his deranged and possessive other personality emerges and worst still, she cannot convince anyone else of his Jekyll/Hyde true nature.
103	John Dahl	Bill Geddie	Ray Liotta#Linda Fiorentino#Peter Coyote	English#Spanish	A medical examiner, who was suspected of murdering his wife, is trying an experimental drug to retrieve his wife's and others' memory and maybe find the killer and the mass murderer in a related present case.
104	Dennis Dugan	Tim Herlihy#Adam Sandler	Adam Sandler#Christopher McDonald#Julie Bowen	USA	A rejected hockey player puts his skills to the golf course to save his grandmother's house.
105	Clint Eastwood	Richard LaGravenese#Robert James Waller	Clint Eastwood#Meryl Streep#Annie Corley	USA	Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson, for four days in the 1960s.
106	Doris Dörrie	Doris Dörrie#Doris Dörrie	Maria Schrader#Pierre Sanoussi-Bliss#Michael von Au	German	On the brink of her 30th birthday, Fanny feels the door to marital happiness closing up on her. She is obsessed with death, even visits evening classes on dying and so it seems fitting, ...
107	Brian Henson#David Lane	Robert Louis Stevenson#Jerry Juhl	Tim Curry#Billy Connolly#Jennifer Saunders	USA	The Muppets' twist on the classic tale.
108	Robert Leacock	Christy Turlington#Azzedine Alaïa#Giorgio Armani	None	English	A camera follows model Christy Turlington through the spring fashion shows in Milan, Paris, and New York one year in the early 1990s, probably 1992. She and others dash from one designer's ...
109	James Bruce	Peter Koper	Raymond J. Barry#Rustam Branaman#Jennifer MacDonald	English	Late one night, in a seedy topless bar, a group of men watch a stripper dance over their malted beverages. But, one of them is an ex-con who's about to put the group on a collision course ...
110	Mel Gibson	Randall Wallace	Mel Gibson#Sophie Marceau#Patrick McGoohan	USA	When his secret bride is executed for assaulting an English soldier who tried to rape her, William Wallace begins a revolt against King Edward I of England.
111	Martin Scorsese	Paul Schrader	Robert De Niro#Jodie Foster#Cybill Shepherd	English#Spanish	A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.
112	Stanley Tong	Edward Tang#Fibe Ma	Jackie Chan#Anita Mui#Françoise Yip	Cantonese#English	A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.
113	Barbet Schroeder	Rosellen Brown#Ted Tally	Meryl Streep#Liam Neeson#Edward Furlong	English	Two parents deal with the effects when their son is accused of murdering his girlfriend.
114	Mort Ransen	Sheldon Currie#Gerald Wexler	Helena Bonham Carter#Kate Nelligan#Clive Russell	English#Scottish Gaelic#Cantonese	Margaret MacNiel, a girl living in a Cape Breton coal mining town, finds her life changing when she meets Neil Currie, a cheerful bagpipe-playing dishwasher. Unfortunately, neither of them are able to escape the industry around them.
115	Étienne Chatiliez	Florence Quentin	Michel Serrault#Eddy Mitchell#Sabine Azéma	French	Francis, the boss of a small plumbing supply company, is harassed by tax collectors, striking employees, and an impossible wife and daughter. His only joy is sharing lunch with his friend ...
116	Jon Blair	Jon Blair#Anne Frank	Kenneth Branagh#Glenn Close#Janny Brandes-Brilslijper	UK#USA#Netherlands	Using previously unreleased archival material in addition to contemporary interviews, this academy award-winning documentary tells the story of the Frank family and presents the first ...
117	Benjamin Ross	Jeff Rawle#Benjamin Ross	Hugh O'Conor#Antony Sher#Tobias Arnold	English	This film is based on a true story about a British teenager who allegedly poisoned family, friends, and co-workers. Graham is highly intelligent, but completely amoral. He becomes ...
118	Eric Schaeffer	Eric Schaeffer#Tony Spiridakis	Sarah Jessica Parker#Eric Schaeffer#Ben Stiller	English	Joe and Lucy are roommates and best friends. Lucy, whose love life is embarrassingly dull, convinces Joe, who is infatuated with a neighbor he's never met, that if they don't have stable ...
119	Andrew Davis	Andrew Davis#Teresa Tucker-Davies	Andy Garcia#Alan Arkin#Rachel Ticotin	English	Ruben and Robby are twin brothers, adopted by Mona, one of the wealthiest - and most eccentric - women in Santa Barbara. Ruben is devoted to Mona, but Robby is more devoted to her money. So...
120	Charles T. Kanganis	Barry Morrow	Halle Berry#Jim Belushi#Bill Hunter	English#Hawaiian#Russian	A bunch of high school misfits in Hawaii, introduced by their new teacher, attend a science fair in which they draw up inspiration to build their own solar car and win a trip to compete in the 1990 World Solar Challenge in Australia.
121	John N. Smith	Des Walsh#John N. Smith	Henry Czerny#Johnny Morina#Brian Dooley	English	The true story of boys being sexually abused at their orphanage ran by a religious community in Newfoundland.
122	Reginald Hudlin	Barry W. Blaustein#David Sheffield	Eddie Murphy#Robin Givens#Halle Berry	English#French	A successful executive and womanizer finds his lifestyle choices have turned back on him when his new female boss turns out to be an even bigger deviant than he is.
123	Kar-Wai Wong	Kar-Wai Wong	Brigitte Lin#Takeshi Kaneshiro#Tony Chiu-Wai Leung	Cantonese#English#Japanese#Hindi#Mandarin	Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.
124	Giuseppe Tornatore	Giuseppe Tornatore#Fabio Rinaudo	Sergio Castellitto#Tiziana Lodato#Franco Scaldati	Italian#Sicilian#Spanish	A photographer and the types of people he encounters.
125	David O. Russell	David O. Russell	Ben Stiller#Patricia Arquette#Téa Leoni	USA	A young man, his wife, and his incompetent case worker travel across country to find his birth parents.
126	Peter MacDonald	Jeff Lieberman#Karin Howard	Jason James Richter#Melody Kay#Jack Black	English	A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.
127	Moufida Tlatli	Nouri Bouzid#Moufida Tlatli	Amel Hedhili#Najia Ouerghi#Hind Sabri	Arabic#French	As she grows up, Alia (the daughter of housemaid Khedija) learns the secrets of the peaceful palace where she and her mother live.
128	Michel Negroponte	Gabriel Morgan#Michel Negroponte	Maggie Cogan#Katina Pendleton	USA	Michel Negroponte, a documentary filmmaker, meets Maggie one day in Central Park. Maggie claims to be married to the god Jupiter and the daughter of actor Robert Ryan. Michel gets to know ...
129	Bryan Gordon	Bryan Gordon	Josh Charles#Anne Heche#John Goodman	USA	A whimsical saga of a young man whose two life-consuming passions are unraveling traffic gridlock and an avant-garde dancer. A romantic comedy.
130	Rebecca Miller	Rebecca Miller	Miranda Rhyne#Charlotte Eve Blythe#Anna Levine	English	The ten year-old Angela and her little sister Ellie move to an old house in the countryside with her parents Mae and Andrew. Their mother has mental illness and has just left an institution...
131	Michael Lindsay-Hogg	Ronan O'Leary#Chet Raymo	Matt Dillon#Anne Parillaud#Gabriel Byrne	Ireland#UK#France#USA	This is a story of a man (Walker), suffering from dwarfism, who writes an autobiographical account of his life. In flashbacks, we see how he was conceived to a woman (Parillaud) at the end ...
132	William Friedkin	Joe Eszterhas	David Caruso#Linda Fiorentino#Chazz Palminteri	USA	A bright assistant D.A. investigates a gruesome hatchet murder and hides a clue he found at the crime scene. Under professional threats and an attempt on his life, he goes on heartbroken because evidence point to the woman he still loves.
