59	Confessional, The (Le Confessionnal) (1995)	/title/tt0112714/?ref_=fn_al_tt_1	Le confessionnal	(1995)
60	Indian in the Cupboard, The (1995)	/title/tt0113419/?ref_=fn_al_tt_1	The Indian in the Cupboard	(1995)
61	Eye for an Eye (1996)	/title/tt0116260/?ref_=fn_al_tt_1	Eye for an Eye	(1996)
62	Mr. Holland's Opus (1995)	/title/tt0113862/?ref_=fn_al_tt_1	Mr. Holland's Opus	(1995)
63	Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	/title/tt0116126/?ref_=fn_al_tt_1	Don't Be a Menace to South Central While Drinking Your Juice in the Hood	(1996)
64	Two if by Sea (1996)	/title/tt0118002/?ref_=fn_al_tt_1	Two If by Sea	(1996)
65	Bio-Dome (1996)	/title/tt0115683/?ref_=fn_al_tt_1	Bio-Dome	(1996)
66	Lawnmower Man 2: Beyond Cyberspace (1996)	/title/tt0116839/?ref_=fn_al_tt_1	Lawnmower Man 2: Beyond Cyberspace	(1996)
67	Two Bits (1995)	/title/tt0114753/?ref_=fn_al_tt_1	Two Bits	(1995)
68	French Twist (Gazon maudit) (1995)	/title/tt0113149/?ref_=fn_al_tt_1	Gazon maudit	(1995)
69	Friday (1995)	/title/tt0113118/?ref_=fn_al_tt_1	Friday	(1995)
70	From Dusk Till Dawn (1996)	/title/tt0116367/?ref_=fn_al_tt_1	From Dusk Till Dawn	(1996)
71	Fair Game (1995)	/title/tt0113010/?ref_=fn_al_tt_1	Fair Game	(1995)
72	Kicking and Screaming (1995)	/title/tt0113537/?ref_=fn_al_tt_1	Kicking and Screaming	(1995)
73	Mis閞ables, Les (1995)	/title/tt0113828/?ref_=fn_tt_tt_7	None	None
74	Bed of Roses (1996)	/title/tt0115644/?ref_=fn_al_tt_1	Bed of Roses	(1996)
75	Big Bully (1996)	/title/tt0115676/?ref_=fn_al_tt_1	Big Bully	(1996)
76	Screamers (1995)	/title/tt0114367/?ref_=fn_al_tt_1	Screamers	(1995)
77	Nico Icon (1995)	/title/tt0113973/?ref_=fn_al_tt_1	Nico Icon	(1995)
78	Crossing Guard, The (1995)	/title/tt0112744/?ref_=fn_al_tt_1	MassDOT Crossing Guard Training	(2018) (Video)
79	Juror, The (1996)	/title/tt0116731/?ref_=fn_al_tt_1	The Juror	(1996)
80	White Balloon, The (Badkonake Sefid ) (1995)	/title/tt0112445/?ref_=fn_al_tt_1	Badkonake sefid	(1995)
81	Things to Do in Denver when You're Dead (1995)	/title/tt0114660/?ref_=fn_al_tt_1	Things to Do in Denver When You're Dead	(1995)
82	Antonia's Line (Antonia) (1995)	/title/tt0112379/?ref_=fn_al_tt_1	Antonia	(1995)
83	Once Upon a Time... When We Were Colored (1995)	/title/tt0114039/?ref_=fn_al_tt_1	Once Upon a Time... When We Were Colored	(1995)
84	Last Summer in the Hamptons (1995)	/title/tt0113612/?ref_=fn_al_tt_1	Last Summer in the Hamptons	(1995)
85	Angels and Insects (1995)	/title/tt0112365/?ref_=fn_al_tt_1	Angels and Insects	(1995)
86	White Squall (1996)	/title/tt0118158/?ref_=fn_al_tt_1	White Squall	(1996)
87	Dunston Checks In (1996)	/title/tt0116151/?ref_=fn_al_tt_1	Dunston Checks In	(1996)
88	Black Sheep (1996)	/title/tt0115697/?ref_=fn_al_tt_1	Black Sheep	(1996)
89	Nick of Time (1995)	/title/tt0113972/?ref_=fn_al_tt_1	Nick of Time	(1995)
90	Journey of August King, The (1995)	/title/tt0113490/?ref_=fn_al_tt_1	The Journey of August King	(1995)
92	Mary Reilly (1996)	/title/tt0117002/?ref_=fn_al_tt_1	Mary Reilly	(1996)
93	Vampire in Brooklyn (1995)	/title/tt0114825/?ref_=fn_al_tt_1	Vampire in Brooklyn	(1995)
94	Beautiful Girls (1996)	/title/tt0115639/?ref_=fn_al_tt_1	Beautiful Girls	(1996)
95	Broken Arrow (1996)	/title/tt0115759/?ref_=fn_al_tt_1	Broken Arrow	(1996)
96	In the Bleak Midwinter (1995)	/title/tt0598888/?ref_=fn_al_tt_1	In the Bleak Midwinter
97	Hate (Haine, La) (1995)	/title/tt0113247/?ref_=fn_al_tt_1	La haine	(1995)
98	Shopping (1994)	/title/tt0111173/?ref_=fn_al_tt_1	Shopping	(1994)
99	Heidi Fleiss: Hollywood Madam (1995)	/title/tt0113283/?ref_=fn_al_tt_1	Heidi Fleiss: Hollywood Madam	(1995) (TV Movie)
100	City Hall (1996)	/title/tt0115907/?ref_=fn_al_tt_1	City Hall	(1996)
101	Bottle Rocket (1996)	/title/tt0115734/?ref_=fn_al_tt_1	Bottle Rocket	(1996)
102	Mr. Wrong (1996)	/title/tt0117102/?ref_=fn_al_tt_1	Mr. Wrong	(1996)
103	Unforgettable (1996)	/title/tt0118040/?ref_=fn_al_tt_1	Unforgettable	(1996)
104	Happy Gilmore (1996)	/title/tt0116483/?ref_=fn_al_tt_1	Happy Gilmore	(1996)
105	Bridges of Madison County, The (1995)	/title/tt0112579/?ref_=fn_al_tt_1	The Bridges of Madison County	(1995)
106	Nobody Loves Me (Keiner liebt mich) (1994)	/title/tt0110251/?ref_=fn_al_tt_1	Keiner liebt mich	(1994)
107	Muppet Treasure Island (1996)	/title/tt0117110/?ref_=fn_al_tt_1	Muppet Treasure Island	(1996)
108	Catwalk (1995)	/title/tt0112646/?ref_=fn_al_tt_1	Catwalk	(1995)
109	Headless Body in Topless Bar (1995)	/title/tt0113276/?ref_=fn_al_tt_1	Headless Body in Topless Bar	(1995)
110	Braveheart (1995)	/title/tt0112573/?ref_=fn_al_tt_1	Braveheart	(1995)
111	Taxi Driver (1976)	/title/tt0075314/?ref_=fn_al_tt_1	Taxi Driver	(1976)
112	Rumble in the Bronx (1995)	/title/tt0113326/?ref_=fn_al_tt_1	Hung fan kui	(1995)
113	Before and After (1996)	/title/tt0115645/?ref_=fn_al_tt_1	Before and After	(1996)
114	Margaret's Museum (1995)	/title/tt0113774/?ref_=fn_al_tt_1	Margaret's Museum	(1995)
115	Happiness Is in the Field (1995)	/title/tt0112556/?ref_=fn_al_tt_1	Le bonheur est dans le pré	(1995)
116	Anne Frank Remembered (1995)	/title/tt0112373/?ref_=fn_al_tt_1	Anne Frank Remembered	(1995)
117	Young Poisoner's Handbook, The (1995)	/title/tt0115033/?ref_=fn_al_tt_1	The Young Poisoner's Handbook	(1995)
118	If Lucy Fell (1996)	/title/tt0116606/?ref_=fn_al_tt_1	If Lucy Fell	(1996)
119	Steal Big, Steal Little (1995)	/title/tt0114536/?ref_=fn_al_tt_1	Steal Big Steal Little	(1995)
120	Race the Sun (1996)	/title/tt0117427/?ref_=fn_al_tt_1	Race the Sun	(1996)
121	Boys of St. Vincent, The (1993)	/title/tt0106473/?ref_=fn_al_tt_1	None	None
122	Boomerang (1992)	/title/tt0103859/?ref_=fn_al_tt_1	Boomerang	(1992)
123	Chungking Express (1994)	/title/tt0109424/?ref_=fn_al_tt_1	Chung Hing sam lam	(1994)
124	Star Maker, The (Uomo delle stelle, L') (1995)	/title/tt0114808/?ref_=fn_al_tt_1	None	None
125	Flirting With Disaster (1996)	/title/tt0116324/?ref_=fn_al_tt_1	Flirting with Disaster	(1996)
126	NeverEnding Story III, The (1994)	/title/tt0110647/?ref_=fn_al_tt_1	Die unendliche Geschichte III: Rettung aus Phantasien	(1994)
127	Silence of the Palace, The (Saimt el Qusur) (1994)	/title/tt0111055/?ref_=fn_al_tt_1	None	None
128	Jupiter's Wife (1994)	/title/tt0110217/?ref_=fn_al_tt_1	Jupiter's Wife	(1995)
129	Pie in the Sky (1995)	/title/tt0114131/?ref_=fn_al_tt_1	Pie in the Sky	(1995)
130	Angela (1995)	/title/tt0112364/?ref_=fn_al_tt_1	Angela	(1995)
131	Frankie Starlight (1995)	/title/tt0113107/?ref_=fn_al_tt_1	Frankie Starlight	(1995)
132	Jade (1995)	/title/tt0113451/?ref_=fn_al_tt_1	Jade	(1995)
133	Nueba Yol (1995)	/title/tt0114015/?ref_=fn_al_tt_1	Nueba Yol	(1995)
134	Sonic Outlaws (1995)	/title/tt0114500/?ref_=fn_al_tt_1	Sonic Outlaws	(1995)
135	Down Periscope (1996)	/title/tt0116130/?ref_=fn_al_tt_1	Down Periscope	(1996)
136	From the Journals of Jean Seberg (1995)	/title/tt0113125/?ref_=fn_al_tt_1	From the Journals of Jean Seberg	(1995)
137	Man of the Year (1995)	/title/tt0113756/?ref_=fn_al_tt_1	Man of the Year	(1995)
138	Neon Bible, The (1995)	/title/tt0113952/?ref_=fn_al_tt_1	The Neon Bible	(1995)
139	Target (1995)	/title/tt0114618/?ref_=fn_al_tt_1	Target	(1995)
140	Up Close and Personal (1996)	/title/tt0497080/?ref_=fn_al_tt_1	Up Close and Personal	(TV Series)
141	Birdcage, The (1996)	/title/tt0115685/?ref_=fn_al_tt_1	The Birdcage	(1996)
142	Shadows (Cienie) (1988)	/title/tt0094878/?ref_=fn_al_tt_1	Cienie	(1988)
143	Gospa (1995)	/title/tt0113200/?ref_=fn_al_tt_1	Gospa	(1995)
144	Brothers McMullen, The (1995)	/title/tt6155832/?ref_=fn_al_tt_1	Something to Talk About/Unzipped/Virtuosity/A Walk in the Clouds/The Brothers McMullen/Double Happiness
145	Bad Boys (1995)	/title/tt0112442/?ref_=fn_al_tt_1	Bad Boys	(1995)
146	Amazing Panda Adventure, The (1995)	/title/tt0112342/?ref_=fn_al_tt_1	The Amazing Panda Adventure	(1995)
147	Basketball Diaries, The (1995)	/title/tt0112461/?ref_=fn_al_tt_1	The Basketball Diaries	(1995)
148	Awfully Big Adventure, An (1995)	/title/tt0112427/?ref_=fn_al_tt_1	An Awfully Big Adventure	(1995)
149	Amateur (1994)	/title/tt0109093/?ref_=fn_al_tt_1	Amateur	(1994)
150	Apollo 13 (1995)	/title/tt0112384/?ref_=fn_al_tt_1	Apollo 13	(I) (1995)
151	Rob Roy (1995)	/title/tt0114287/?ref_=fn_al_tt_1	Rob Roy	(1995)
152	Addiction, The (1995)	/title/tt3663930/?ref_=fn_al_tt_1	Addiction: This Is Not a Love Story	(2014) (Short)
153	Batman Forever (1995)	/title/tt0112462/?ref_=fn_al_tt_1	Batman Forever	(1995)
154	Belle de jour (1967)	/title/tt0061395/?ref_=fn_al_tt_1	Belle de jour	(1967)
155	Beyond Rangoon (1995)	/title/tt0112495/?ref_=fn_al_tt_1	Beyond Rangoon	(1995)
156	Blue in the Face (1995)	/title/tt0112541/?ref_=fn_al_tt_1	Blue in the Face	(1995)
157	Canadian Bacon (1994)	/title/tt0109370/?ref_=fn_al_tt_1	Canadian Bacon	(1995)
158	Casper (1995)	/title/tt0112642/?ref_=fn_al_tt_1	Casper	(1995)
159	Clockers (1995)	/title/tt0112688/?ref_=fn_al_tt_1	Clockers	(1995)
160	Congo (1995)	/title/tt0112715/?ref_=fn_al_tt_1	Congo	(1995)
161	Crimson Tide (1995)	/title/tt0112740/?ref_=fn_al_tt_1	Crimson Tide	(1995)
162	Crumb (1994)	/title/tt0109508/?ref_=fn_al_tt_1	Crumb	(1994)
163	Desperado (1995)	/title/tt0112851/?ref_=fn_al_tt_1	Desperado	(1995)
164	Devil in a Blue Dress (1995)	/title/tt0112857/?ref_=fn_al_tt_1	Devil in a Blue Dress	(1995)
165	Die Hard: With a Vengeance (1995)	/title/tt0112864/?ref_=fn_al_tt_1	Die Hard: With a Vengeance	(1995)
166	Doom Generation, The (1995)	/title/tt0112887/?ref_=fn_al_tt_1	The Doom Generation	(1995)
167	Feast of July (1995)	/title/tt0113044/?ref_=fn_al_tt_1	Feast of July	(1995)
168	First Knight (1995)	/title/tt0113071/?ref_=fn_al_tt_1	First Knight	(1995)
169	Free Willy 2: The Adventure Home (1995)	/title/tt0113114/?ref_=fn_al_tt_1	Free Willy 2: The Adventure Home	(1995)
170	Hackers (1995)	/title/tt0113243/?ref_=fn_al_tt_1	Hackers	(1995)
171	Jeffrey (1995)	/title/tt0113464/?ref_=fn_al_tt_1	Jeffrey	(1995)
172	Johnny Mnemonic (1995)	/title/tt0113481/?ref_=fn_al_tt_1	Johnny Mnemonic	(1995)
173	Judge Dredd (1995)	/title/tt0113492/?ref_=fn_al_tt_1	Judge Dredd	(1995)
174	Jury Duty (1995)	/title/tt0113500/?ref_=fn_al_tt_1	Jury Duty	(1995)
175	Kids (1995)	/title/tt0113540/?ref_=fn_al_tt_1	Kids	(1995)
176	Living in Oblivion (1995)	/title/tt0113677/?ref_=fn_al_tt_1	Living in Oblivion	(1995)
177	Lord of Illusions (1995)	/title/tt0113690/?ref_=fn_al_tt_1	Lord of Illusions	(1995)
178	Love & Human Remains (1993)	/title/tt0107447/?ref_=fn_al_tt_1	Love & Human Remains	(1993)
179	Mad Love (1995)	/title/tt0113729/?ref_=fn_al_tt_1	Mad Love	(1995)
180	Mallrats (1995)	/title/tt0113749/?ref_=fn_al_tt_1	Mallrats	(1995)
181	Mighty Morphin Power Rangers: The Movie (1995)	/title/tt0113820/?ref_=fn_al_tt_1	Mighty Morphin Power Rangers: The Movie	(1995)
182	Moonlight and Valentino (1995)	/title/tt0113851/?ref_=fn_al_tt_1	Moonlight and Valentino	(1995)
183	Mute Witness (1994)	/title/tt0110604/?ref_=fn_al_tt_1	Mute Witness	(1995)
184	Nadja (1994)	/title/tt0110620/?ref_=fn_al_tt_1	Nadja	(1994)
185	Net, The (1995)	/title/tt0113957/?ref_=fn_al_tt_1	The Net	(1995)
186	Nine Months (1995)	/title/tt0113986/?ref_=fn_al_tt_1	Nine Months	(1995)
187	Party Girl (1995)	/title/tt0114095/?ref_=fn_al_tt_1	Party Girl	(1995)
188	Prophecy, The (1995)	/title/tt0114194/?ref_=fn_al_tt_1	The Prophecy	(1995)
189	Reckless (1995)	/title/tt0114241/?ref_=fn_al_tt_1	Reckless	(1995)
190	Safe (1995)	/title/tt0114323/?ref_=fn_al_tt_1	Safe	(1995)
191	Scarlet Letter, The (1995)	/title/tt4368688/?ref_=fn_al_tt_1	The Scarlet Letter - Thug Notes Summary and Analysis
192	Show, The (1995)	/title/tt0114436/?ref_=fn_al_tt_1	Showgirls	(1995)
193	Showgirls (1995)	/title/tt0114436/?ref_=fn_al_tt_1	Showgirls	(1995)
194	Smoke (1995)	/title/tt0114478/?ref_=fn_al_tt_1	Smoke	(1995)
195	Something to Talk About (1995)	/title/tt0114496/?ref_=fn_al_tt_1	Something to Talk About	(1995)
196	Species (1995)	/title/tt0114508/?ref_=fn_al_tt_1	Species	(1995)
197	Stars Fell on Henrietta, The (1995)	/title/tt0114534/?ref_=fn_al_tt_1	The Stars Fell on Henrietta	(1995)
198	Strange Days (1995)	/title/tt0114558/?ref_=fn_al_tt_1	Strange Days	(1995)
199	Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)	/title/tt0058450/?ref_=fn_al_tt_1	Les parapluies de Cherbourg	(1964)
200	Tie That Binds, The (1995)	/title/tt0114666/?ref_=fn_al_tt_1	The Tie That Binds	(1995)
201	Three Wishes (1995)	/title/tt0114663/?ref_=fn_al_tt_1	Three Wishes	(1995)
202	Total Eclipse (1995)	/title/tt0114702/?ref_=fn_al_tt_1	Total Eclipse	(1995)
203	To Wong Foo, Thanks for Everything! Julie Newmar (1995)	/title/tt0114682/?ref_=fn_al_tt_1	To Wong Foo Thanks for Everything, Julie Newmar	(1995)
204	Under Siege 2: Dark Territory (1995)	/title/tt0114781/?ref_=fn_al_tt_1	Under Siege 2: Dark Territory	(1995)
205	Unstrung Heroes (1995)	/title/tt0114798/?ref_=fn_al_tt_1	Unstrung Heroes	(1995)
206	Unzipped (1995)	/title/tt0114805/?ref_=fn_al_tt_1	Unzipped	(1995)
207	Walk in the Clouds, A (1995)	/title/tt0114887/?ref_=fn_al_tt_1	A Walk in the Clouds	(1995)
208	Waterworld (1995)	/title/tt0114898/?ref_=fn_al_tt_1	Waterworld	(1995)
209	White Man's Burden (1995)	/title/tt0114928/?ref_=fn_al_tt_1	White Man's Burden	(1995)
210	Wild Bill (1995)	/title/tt0114938/?ref_=fn_al_tt_1	Wild Bill	(1995)
211	Browning Version, The (1994)	/title/tt0109340/?ref_=fn_al_tt_1	The Browning Version	(1994)
212	Bushwhacked (1995)	/title/tt0112602/?ref_=fn_al_tt_1	Bushwhacked	(1995)
213	Burnt By the Sun (Utomlyonnye solntsem) (1994)	/title/tt0111579/?ref_=fn_al_tt_1	None	None
214	Before the Rain (Pred dozhdot) (1994)	/title/tt0110882/?ref_=fn_al_tt_1	Pred dozhdot	(1994)
215	Before Sunrise (1995)	/title/tt0112471/?ref_=fn_al_tt_1	Before Sunrise	(1995)
216	Billy Madison (1995)	/title/tt0112508/?ref_=fn_al_tt_1	Billy Madison	(1995)
217	Babysitter, The (1995)	/title/tt0630190/?ref_=fn_al_tt_1	Beaver the Babysitter
218	Boys on the Side (1995)	/title/tt0112571/?ref_=fn_al_tt_1	Boys on the Side	(1995)
219	Cure, The (1995)	/title/tt0112757/?ref_=fn_al_tt_1	The Cure	(1995)
220	Castle Freak (1995)	/title/tt0112643/?ref_=fn_al_tt_1	Castle Freak	(1995) (Video)
222	Circle of Friends (1995)	/title/tt0112679/?ref_=fn_al_tt_1	Circle of Friends	(1995)
223	Clerks (1994)	/title/tt0109445/?ref_=fn_al_tt_1	Clerks	(1994)
224	Don Juan DeMarco (1995)	/title/tt0112883/?ref_=fn_al_tt_1	Don Juan DeMarco	(1994)
225	Disclosure (1994)	/title/tt0109635/?ref_=fn_al_tt_1	Disclosure	(1994)
226	Dream Man (1995)	/title/tt0112899/?ref_=fn_al_tt_1	Dream Man	(1995) (Video)
227	Drop Zone (1994)	/title/tt0109676/?ref_=fn_al_tt_1	Drop Zone	(1994)
228	Destiny Turns on the Radio (1995)	/title/tt0112854/?ref_=fn_al_tt_1	Destiny Turns on the Radio	(1995)
229	Death and the Maiden (1994)	/title/tt0109579/?ref_=fn_al_tt_1	Death and the Maiden	(1994)
230	Dolores Claiborne (1994)	/title/tt0109642/?ref_=fn_al_tt_1	Dolores Claiborne	(1995)
231	Dumb & Dumber (1994)	/title/tt0109686/?ref_=fn_al_tt_1	Dumb and Dumber	(1994)
232	Eat Drink Man Woman (1994)	/title/tt0111797/?ref_=fn_al_tt_1	Yin shi nan nu	(1994)
233	Exotica (1994)	/title/tt0109759/?ref_=fn_al_tt_1	Exotica	(1994)
234	Exit to Eden (1994)	/title/tt0109758/?ref_=fn_al_tt_1	Exit to Eden	(1994)
235	Ed Wood (1994)	/title/tt0109707/?ref_=fn_al_tt_1	Ed Wood	(1994)
236	French Kiss (1995)	/title/tt0113117/?ref_=fn_al_tt_1	French Kiss	(1995)
237	Forget Paris (1995)	/title/tt0113097/?ref_=fn_al_tt_1	Forget Paris	(1995)
238	Far From Home: The Adventures of Yellow Dog (1995)	/title/tt0113028/?ref_=fn_al_tt_1	Far from Home: The Adventures of Yellow Dog	(1995)
239	Goofy Movie, A (1995)	/title/tt0113198/?ref_=fn_al_tt_1	A Goofy Movie	(1995)
240	Hideaway (1995)	/title/tt0113303/?ref_=fn_al_tt_1	Hideaway	(1995)
241	Fluke (1995)	/title/tt0113089/?ref_=fn_al_tt_1	Fluke	(1995)
242	Farinelli: il castrato (1994)	/title/tt0109771/?ref_=fn_al_tt_1	Farinelli	(1994)
243	Gordy (1995)	/title/tt0113199/?ref_=fn_al_tt_1	Gordy	(1995)
244	Gumby: The Movie (1995)	/title/tt0113234/?ref_=fn_al_tt_1	Gumby 1	(1995)
245	Glass Shield, The (1994)	/title/tt0109906/?ref_=fn_al_tt_1	The Glass Shield	(1994)
246	Hoop Dreams (1994)	/title/tt0110057/?ref_=fn_al_tt_1	Hoop Dreams	(1994)
247	Heavenly Creatures (1994)	/title/tt0110005/?ref_=fn_al_tt_1	Heavenly Creatures	(1994)
248	Houseguest (1994)	/title/tt0570070/?ref_=fn_al_tt_1	The Houseguest
249	Immortal Beloved (1994)	/title/tt0110116/?ref_=fn_al_tt_1	Immortal Beloved	(1994)
250	Heavyweights (1994)	/title/tt0110006/?ref_=fn_al_tt_1	Heavyweights	(1995)
251	Hunted, The (1995)	/title/tt0113360/?ref_=fn_al_tt_1	The Hunted	(1995)
252	I.Q. (1994)	/title/tt0110099/?ref_=fn_al_tt_1	I.Q.	(1994)
253	Interview with the Vampire (1994)	/title/tt2816096/?ref_=fn_al_tt_1	Interview with the Vampire
254	Jefferson in Paris (1995)	/title/tt0113463/?ref_=fn_al_tt_1	Jefferson in Paris	(1995)
255	Jerky Boys, The (1994)	/title/tt6145980/?ref_=fn_al_tt_1	The Quick and the Dead/Shallow Grave/The Jerky Boys: The Movie/Crumb
256	Junior (1994)	/title/tt0110216/?ref_=fn_al_tt_1	Junior	(1994)
257	Just Cause (1995)	/title/tt0113501/?ref_=fn_al_tt_1	Just Cause	(1995)
258	Kid in King Arthur's Court, A (1995)	/title/tt0113538/?ref_=fn_al_tt_1	A Kid in King Arthur's Court	(1995)
259	Kiss of Death (1995)	/title/tt0113552/?ref_=fn_al_tt_1	Kiss of Death	(1995)
260	Star Wars: Episode IV - A New Hope (1977)	/title/tt0076759/?ref_=fn_al_tt_1	Star Wars	(1977)
261	Little Women (1994)	/title/tt0110367/?ref_=fn_al_tt_1	Little Women	(1994)
262	Little Princess, A (1995)	/title/tt0113670/?ref_=fn_al_tt_1	A Little Princess	(1995)
263	Ladybird Ladybird (1994)	/title/tt0110296/?ref_=fn_al_tt_1	Ladybird Ladybird	(1994)
264	Enfer, L' (1994)	/title/tt0109731/?ref_=fn_al_tt_1	None	None
265	Like Water for Chocolate (Como agua para chocolate) (1992)	/title/tt0103994/?ref_=fn_al_tt_1	Como agua para chocolate	(1992)
266	Legends of the Fall (1994)	/title/tt0110322/?ref_=fn_al_tt_1	Legends of the Fall	(1994)
267	Major Payne (1994)	/title/tt0110443/?ref_=fn_al_tt_1	None	None
268	Little Odessa (1994)	/title/tt0110365/?ref_=fn_al_tt_1	Little Odessa	(1994)
